average,city
178648,"New York, NY"
83715,"Los Angeles, CA"
74056,"Miami, FL"
39507,"Washington, DC"
35518,"Chicago, IL"
33819,"Houston, TX"
32916,"San Francisco, CA"
29475,"Dallas, TX"
25655,"Boston, MA"
21166,"Atlanta, GA"
18721,"San Diego, CA"
18691,"San Jose, CA"
18543,"Philadelphia, PA"
18512,"Seattle, WA"
15025,"Riverside, CA"
12805,"Phoenix, AZ"
12612,"Detroit, MI"
11205,"Minneapolis, MN"
10989,"Orlando, FL"
10097,"Tampa, FL"
9227,"Las Vegas, NV"
9192,"Sacramento, CA"
8666,"Denver, CO"
8328,"Baltimore, MD"
6889,"Portland, OR"
6575,"Austin, TX"
5768,"Charlotte, NC"
5601,"San Antonio, TX"
5437,"Columbus, OH"
4972,"El Paso, TX"
4788,"Honolulu, HI"
4764,"Providence, RI"
4582,"Nashville, TN"
4529,"Bridgeport, CT"
4432,"Indianapolis, IN"
4128,"Raleigh, NC"
4093,"Kansas City, KS"
4020,"Salt Lake City, UT"
3754,"Hartford, CT"
3555,"Jacksonville, FL"
3373,"Saint Louis, MO-IL"
3137,"Cincinnati, OH"
3111,"Fresno, CA"
3098,"Cleveland-Elyria, OH"
3083,"Stockton-Lodi, CA"
3000,"San Juan-Carolina, PR"
2879,"Milwaukee, WI"
2458,"Cape Coral, FL"
