average,state
206600,"California"
143779,"New York"
114328,"Florida"
98283,"Texas"
53547,"New Jersey"
38919,"Illinois"
31,901,"Massachusetts"
28,409,"Virginia"
25,987,"Georgia"
25,396,"Pennsylvania"
25,143,"Maryland"
24,284,"Washington"
18,638,"Michigan"
18,506,"Arizona"
18,201,"North Carolina"
15,006,"Ohio"
13,836,"Minnesota"
12,844,"Colorado"
11,873,"Connecticut"
10,864,"Nevada"
8,819,"Tennessee"
8,674,"Indiana"
8,243,"Oregon"
6,863,"Missouri"
6,407,"Hawaii"
6,356,"Wisconsin"
6,332,"Utah"
5,831,"Kentucky"
5,282,"Kansas"
4,905,"Oklahoma"
4,765,"Nebraska"
4,725,"Iowa"
4,623,"Louisiana"
4,449,"South Carolina"
3,959,"Alabama"
3,756,"Rhode Island"
3,721,"New Mexico"
3,316,"Puerto Rico"
2,945,"District of Columbia"
2,886,"Arkansas"
2,464,"Idaho"
2,325,"New Hampshire"
2,223,"Delaware"
1,724,"Mississippi"
1,616,"Alaska"
1,464,"Maine"
1,300,"North Dakota"
1,241,"Guam"
1,212,"South Dakota"
848,"Vermont"
796,"West Virginia"
498,"Montana"
460,"Wyoming"
